Name,coordinates,FEATUREID,ΦΥΛΛΟ/ΣΧΕΔΙΟ
21/460404," 33.35309529200004,35.16743374200007,0 33.35309697400004,35.17105991300008,0 33.34868083300006,35.17106121300003,0 33.34867934700003,35.16743504400006,0 33.35309529200004,35.16743374200007,0",1,21/460404
21/540102," 33.34867786100006,35.16380887000003,0 33.35309361100008,35.16380757000007,0 33.35309529200004,35.16743374200007,0 33.34867934700003,35.16743504400006,0 33.34867786100006,35.16380887000003,0",2,21/540102
21/540201," 33.35309361100008,35.16380757000007,0 33.35672544200003,35.16380638000004,0 33.35750935900006,35.16380610900006,0 33.35751123700004,35.16743228100006,0 33.35674127700003,35.16743254700003,0 33.35309529200004,35.16743374200007,0 33.35309361100008,35.16380757000007,0",3,21/540201
21/540202," 33.35750935900006,35.16380610900006,0 33.36192499900005,35.16380448700005,0 33.36192707400005,35.16743074900006,0 33.36068350000005,35.16743119700004,0 33.35971987200003,35.16743155400008,0 33.35751123700004,35.16743228100006,0 33.35750935900006,35.16380610900006,0",4,21/540202
21/540301," 33.36192499900005,35.16380448700005,0 33.36634074900007,35.16380270400003,0 33.36634301800007,35.16742887500004,0 33.36413306700007,35.16742983300003,0 33.36289141800006,35.16743035400003,0 33.36192707400005,35.16743074900006,0 33.36192499900005,35.16380448700005,0",5,21/540301
21/550103," 33.37075403200004,35.16017458500005,0 33.37516958600003,35.16017248000003,0 33.37517224700008,35.16379865400006,0 33.37075649700006,35.16380075900003,0 33.37075403200004,35.16017458500005,0",6,21/550103
21/540304," 33.36633848000002,35.16017662000007,0 33.37075403200004,35.16017458500005,0 33.37075649700006,35.16380075900003,0 33.36634074900007,35.16380270400003,0 33.36633848000002,35.16017662000007,0",7,21/540304
21/540303," 33.36192292700002,35.16017840300003,0 33.36633848000002,35.16017662000007,0 33.36634074900007,35.16380270400003,0 33.36192499900005,35.16380448700005,0 33.36192292700002,35.16017840300003,0",8,21/540303
21/540204," 33.35750748200007,35.16017993500003,0 33.36192292700002,35.16017840300003,0 33.36192499900005,35.16380448700005,0 33.35750935900006,35.16380610900006,0 33.35750748200007,35.16017993500003,0",9,21/540204
21/540203," 33.35309192900007,35.16018139600004,0 33.35670961000005,35.16018021100007,0 33.35750748200007,35.16017993500003,0 33.35750935900006,35.16380610900006,0 33.35672544200003,35.16380638000004,0 33.35309361100008,35.16380757000007,0 33.35309192900007,35.16018139600004,0",10,21/540203
21/540104," 33.34867637600007,35.16018269600005,0 33.35309192900007,35.16018139600004,0 33.35309361100008,35.16380757000007,0 33.34867786100006,35.16380887000003,0 33.34867637600007,35.16018269600005,0",11,21/540104
21/540103," 33.34426082300007,35.16018383600004,0 33.34867637600007,35.16018269600005,0 33.34867786100006,35.16380887000003,0 33.34426211100004,35.16381001000008,0 33.34426082300007,35.16018383600004,0",12,21/540103
21/540401," 33.34666776300003,35.15655714800005,0 33.34867489000004,35.15655660900006,0 33.34867637600007,35.16018269600005,0 33.34426082300007,35.16018383600004,0 33.34425989600004,35.15757943000006,0 33.34425953300007,35.15655774900006,0 33.34666776300003,35.15655714800005,0",13,21/540401
21/540402," 33.34867489000004,35.15655660900006,0 33.35309024900005,35.15655530900006,0 33.35309192900007,35.16018139600004,0 33.34867637600007,35.16018269600005,0 33.34867489000004,35.15655660900006,0",14,21/540402
21/540501," 33.35309024900005,35.15655530900006,0 33.35669378100005,35.15655412800004,0 33.35750549600004,35.15655384800004,0 33.35750748200007,35.16017993500003,0 33.35670961000005,35.16018021100007,0 33.35309192900007,35.16018139600004,0 33.35309024900005,35.15655530900006,0",15,21/540501
21/540502," 33.36192085300007,35.15655222600003,0 33.36192292700002,35.16017840300003,0 33.35750748200007,35.16017993500003,0 33.35750549600004,35.15655384800004,0 33.36192085300007,35.15655222600003,0",16,21/540502
21/540601," 33.36192085300007,35.15655222600003,0 33.36633621000004,35.15655044400006,0 33.36633848000002,35.16017662000007,0 33.36192292700002,35.16017840300003,0 33.36192085300007,35.15655222600003,0",17,21/540601
21/540602," 33.36633621000004,35.15655044400006,0 33.37075156800006,35.15654850000004,0 33.37075403200004,35.16017458500005,0 33.36633848000002,35.16017662000007,0 33.36633621000004,35.15655044400006,0",18,21/540602
