Name,coordinates,FEATUREID,ΚΩΔΙΚΟΣ ΚΤΗΡΙΟΥ,ΚΩΔΙΚΟΣ ΥΨΟΥΣ ΚΤΗΡΙΟΥ,DXF_LAYER,Περιγραφή Κτηρίου,SYMBOL
BLDGGF," 33.36160246100008,35.16105230300008,0 33.36157484000006,35.16102399100004,0 33.36156953800003,35.16102778300007,0 33.36154394900007,35.16100155600003,0 33.36154892200005,35.16099742700004,0 33.36153005900007,35.16097809300004,0 33.36152452300007,35.16098168100007,0 33.36149826900004,35.16095470800008,0 33.36150345600004,35.16095082600003,0 33.36147514100003,35.16092180300007,0 33.36160895700004,35.16083493300005,0 33.36165885100007,35.16089173500006,0 33.36159867600003,35.16093183500004,0 33.36161609600003,35.16095054200008,0 33.36167751800008,35.16091298600003,0 33.36170277800005,35.16094174400007,0 33.36170718500006,35.16093968100006,0 33.36171886600005,35.16095213500006,0 33.36171374200006,35.16095474900004,0 33.36172655100006,35.16096994200007,0 33.36160246100008,35.16105230300008,0",1,1301,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.36759974200004,35.16100952600004,0 33.36756240200003,35.16099260000004,0 33.36754105200004,35.16098292100003,0 33.36756175900007,35.16095171100005,0 33.36762213700007,35.16098060700006,0 33.36759974200004,35.16100952600004,0",2,1301,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.36326191500007,35.16097248700004,0 33.36315593200004,35.16088086200006,0 33.36323079700003,35.16082177800007,0 33.36323227000003,35.16082298500004,0 33.36330762900008,35.16076591200005,0 33.36341409600004,35.16085472300006,0 33.36326191500007,35.16097248700004,0",3,1300,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.36795779100004,35.16082821800006,0 33.36804355600003,35.16080132300004,0 33.36807750800006,35.16087405300004,0 33.36805300300006,35.16088139200008,0 33.36807049500004,35.16092117700003,0 33.36801364900003,35.16093910600006,0 33.36799173100008,35.16089893700007,0 33.36797115000007,35.16090585800004,0 33.36795567200005,35.16087291000008,0 33.36797625300005,35.16086598700008,0 33.36795779100004,35.16082821800006,0",4,1300,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.36752431400004,35.16093816700004,0 33.36738820500005,35.16087346800003,0 33.36742268900008,35.16082059600007,0 33.36743204900006,35.16082337900008,0 33.36748357800008,35.16075031200006,0 33.36753230600004,35.16076139900008,0 33.36758010000006,35.16077893300007,0 33.36758300900004,35.16077368700007,0 33.36762937000003,35.16079686100005,0 33.36769043600003,35.16081555000005,0 33.36764088200005,35.16088941100003,0 33.36759109600007,35.16086826500003,0 33.36759692300007,35.16085898200004,0 33.36757028900007,35.16084579800003,0 33.36755377400004,35.16087082200005,0 33.36756659500003,35.16087681200003,0 33.36752431400004,35.16093816700004,0",5,1301,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.36600859400005,35.16084185600005,0 33.36588821500004,35.16092423000004,0 33.36574692100004,35.16078156300006,0 33.36580711400006,35.16074178200006,0 33.36581398100003,35.16074821400008,0 33.36586145000007,35.16071566500006,0 33.36588254600008,35.16073776800005,0 33.36589086400005,35.16073133800006,0 33.36593452800003,35.16077514400007,0 33.36593942600007,35.16077514300002,0 33.36600859400005,35.16084185600005,0",6,1301,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.36894880200003,35.16090552000003,0 33.36893554400007,35.16087760800008,0 33.36894534600003,35.16087515600003,0 33.36893735800004,35.16085747800003,0 33.36892706900005,35.16086033600004,0 33.36890358600004,35.16080609200003,0 33.36893097200004,35.16079646000003,0 33.36891874700007,35.16077086700005,0 33.36901528300007,35.16074300100007,0 33.36901403200005,35.16073524000007,0 33.36904686700007,35.16072666300005,0 33.36907035100006,35.16078130800003,0 33.36906054900004,35.16078376000007,0 33.36906455100007,35.16079380600007,0 33.36908170800007,35.16078971600007,0 33.36910671600003,35.16085159800008,0 33.36904449200006,35.16086954400004,0 33.36904866700007,35.16087654000006,0 33.36894880200003,35.16090552000003,0",7,1300,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.36691545900004,35.16087316800008,0 33.36686967400004,35.16090702900004,0 33.36683163200007,35.16087042700008,0 33.36685619800005,35.16085314000003,0 33.36687210300005,35.16086835300007,0 33.36688942700005,35.16085624300007,0 33.36687403400003,35.16084060300005,0 33.36687054800007,35.16084304300006,0 33.36682399000006,35.16079919100002,0 33.36681705300003,35.16079265800005,0 33.36693345800006,35.16071099100003,0 33.36697676800003,35.16075077200003,0 33.36696408200004,35.16075976700006,0 33.36699096000007,35.16078526600006,0 33.36689360000003,35.16085332500006,0 33.36691545900004,35.16087316800008,0",8,1301,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.36166977500005,35.16071304100007,0 33.36161544900006,35.16074650800005,0 33.36158707700002,35.16071586000004,0 33.36158221900007,35.16071831700003,0 33.36155438100008,35.16069047600007,0 33.36156311800005,35.16068556900007,0 33.36149645300003,35.16061553600008,0 33.36160119300007,35.16054904900005,0 33.36166587600008,35.16061749400006,0 33.36168675900007,35.16060644500004,0 33.36172556700007,35.16064743200008,0 33.36170571800005,35.16066208500007,0 33.36174450200008,35.16070146500005,0 33.36176633900004,35.16068880200004,0 33.36184443500008,35.16076996700008,0 33.36183620500003,35.16077607300008,0 33.36185063300007,35.16079119300008,0 33.36186083700005,35.16078627300004,0 33.36191506600005,35.16084317400004,0 33.36179820400002,35.16091702000006,0 33.36167482900004,35.16078809900006,0 33.36169666900003,35.16077543300003,0 33.36167277100003,35.16074915900003,0 33.36169168300006,35.16073732600006,0 33.36166977500005,35.16071304100007,0",9,1301,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.36847168200006,35.16085842100006,0 33.36847893900006,35.16087295100004,0 33.36839695300006,35.16089657800006,0 33.36837202800007,35.16085145300008,0 33.36845305300005,35.16082111800006,0 33.36847168200006,35.16085842100006,0",10,1300,2,BLDGGF,Ισόγειο Κτίριο,24
